Entire Table Data
"Boston Celtics* (1),64,18,.780,—,120.6,109.2,10.75"
"New York Knicks* (2),50,32,.610,14.0,112.8,108.2,4.36"
"Milwaukee Bucks* (3),49,33,.598,15.0,119.0,116.4,2.44"
"Cleveland Cavaliers* (4),48,34,.585,16.0,112.6,110.2,1.98"
"Orlando Magic* (5),47,35,.573,17.0,110.5,108.4,1.48"
"Indiana Pacers* (6),47,35,.573,17.0,123.3,120.2,2.75"
"Philadelphia 76ers* (7),47,35,.573,17.0,114.6,111.5,2.51"
"Miami Heat* (8),46,36,.561,18.0,110.1,108.4,1.10"
"Chicago Bulls (9),39,43,.476,25.0,112.3,113.7,-1.77"
"Atlanta Hawks (10),36,46,.439,28.0,118.3,120.5,-2.38"
"Brooklyn Nets (11),32,50,.390,32.0,110.4,113.3,-3.02"
"Toronto Raptors (12),25,57,.305,39.0,112.4,118.8,-6.45"
"Charlotte Hornets (13),21,61,.256,43.0,106.6,116.8,-10.12"
"Washington Wizards (14),15,67,.183,49.0,113.7,123.0,-9.29"
"Detroit Pistons (15),14,68,.171,50.0,109.9,119.0,-9.06"
"Oklahoma City Thunder* (1),57,25,.695,—,120.1,112.7,7.36"
"Denver Nuggets* (2),57,25,.695,—,114.9,109.6,5.23"
"Minnesota Timberwolves* (3),56,26,.683,1.0,113.0,106.5,6.39"
"Los Angeles Clippers* (4),51,31,.622,6.0,115.6,112.3,3.41"
"Dallas Mavericks* (5),50,32,.610,7.0,117.9,115.6,2.30"
"Phoenix Suns* (6),49,33,.598,8.0,116.2,113.2,3.08"
"New Orleans Pelicans* (7),49,33,.598,8.0,115.1,110.7,4.46"
"Los Angeles Lakers* (8),47,35,.573,10.0,118.0,117.4,1.07"
"Sacramento Kings (9),46,36,.561,11.0,116.6,114.8,2.29"
"Golden State Warriors (10),46,36,.561,11.0,117.8,115.2,2.77"
"Houston Rockets (11),41,41,.500,16.0,114.3,113.2,1.24"
"Utah Jazz (12),31,51,.378,26.0,115.7,120.5,-4.22"
"Memphis Grizzlies (13),27,55,.329,30.0,105.8,112.8,-6.57"
"San Antonio Spurs (14),22,60,.268,35.0,112.1,118.6,-5.80"
"Portland Trail Blazers (15),21,61,.256,36.0,106.4,115.4,-8.29"
