Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                An insight into gut microbiota and its functionalities.
              
            ","Adak A, Khan MR.",Cell Mol Life Sci. 2019 Feb;76(3):473-493. doi: 10.1007/s00018-018-2943-4. Epub 2018 Oct 13.,30317530,"
              Gut microbiota has evolved along with their hosts and is an integral part of the human body. ...Gut microbiota also exerts significant influence on both physical and mental health of an individual. ...
            "
"
              
                The gut microbiota in anxiety and depression - A systematic review.
              
            ","Simpson CA, Diaz-Arteche C, Eliby D, Schwartz OS, Simmons JG, Cowan CSM.",Clin Psychol Rev. 2021 Feb;83:101943. doi: 10.1016/j.cpr.2020.101943. Epub 2020 Oct 29.,33271426,"
              Growing evidence indicates the community of microorganisms throughout the gastrointestinal tract, (i.e., gut microbiota), is associated with anxiety and depressive disorders. We present the first systematic review of the gut microbiota in anxiet …
            "
"
              
                Perturbations in Gut Microbiota Composition in Psychiatric Disorders: A Review and Meta-analysis.
              
            ","Nikolova VL, Smith MRB, Hall LJ, Cleare AJ, Stone JM, Young AH.",JAMA Psychiatry. 2021 Dec 1;78(12):1343-1354. doi: 10.1001/jamapsychiatry.2021.2573.,34524405,"
              IMPORTANCE: Evidence of gut microbiota perturbations has accumulated for multiple psychiatric disorders, with microbiota signatures proposed as potential biomarkers. ...OBJECTIVE: To conduct an umbrella and updated meta-analysis of gut microbiota …
            "
"
              
                A systematic review of gut microbiota composition in observational studies of major depressive disorder, bipolar disorder and schizophrenia.
              
            ","McGuinness AJ, Davis JA, Dawson SL, Loughman A, Collier F, O'Hely M, Simpson CA, Green J, Marx W, Hair C, Guest G, Mohebbi M, Berk M, Stupart D, Watters D, Jacka FN.",Mol Psychiatry. 2022 Apr;27(4):1920-1935. doi: 10.1038/s41380-022-01456-3. Epub 2022 Feb 22.,35194166,"
              We identified 44 studies (including a total of 2510 psychiatric cases and 2407 controls) that met inclusion criteria, of which 24 investigated gut microbiota composition in MDD, seven investigated gut microbiota composition in BD, and 15 investigated …
            "
"
              
                Antibiotics and mental health: The good, the bad and the ugly.
              
            ","Dinan K, Dinan T.",J Intern Med. 2022 Dec;292(6):858-869. doi: 10.1111/joim.13543. Epub 2022 Jul 12.,35819136,"
              Here we review how antibiotics impact mental health by acting through the brain-gut-microbiota axis. Microbes in the gut influence brain function by acting through the vagus nerve or by altering the production of short-chain fatty acids or the a …
            "
"
              
                Psychobiotic Lactobacillus plantarum JYLP-326 relieves anxiety, depression, and insomnia symptoms in test anxious college via modulating the gut microbiota and its metabolism.
              
            ","Zhu R, Fang Y, Li H, Liu Y, Wei J, Zhang S, Wang L, Fan R, Wang L, Li S, Chen T.",Front Immunol. 2023 Mar 23;14:1158137. doi: 10.3389/fimmu.2023.1158137. eCollection 2023.,37033942,"
              The anxiety, depression, and insomnia questionnaires were used to measure students' mental states at the baseline and the end of this study. 16S rRNA sequencing and untargeted metabolomics were performed to analyze the changes in the gut microbiota and fecal …
            "
"
              
                From gut dysbiosis to altered brain function and mental illness: mechanisms and pathways.
              
            ","Rogers GB, Keating DJ, Young RL, Wong ML, Licinio J, Wesselingh S.",Mol Psychiatry. 2016 Jun;21(6):738-48. doi: 10.1038/mp.2016.50. Epub 2016 Apr 19.,27090305,"
              Evidence is now emerging that, through interactions with the gut-brain axis, the bidirectional communication system between the central nervous system and the gastrointestinal tract, the gut microbiome can also influence neural development, cognition a …
            "
"
              
                A fiber-deprived diet causes cognitive impairment and hippocampal microglia-mediated synaptic loss through the gut microbiota and metabolites.
              
            ","Shi H, Ge X, Ma X, Zheng M, Cui X, Pan W, Zheng P, Yang X, Zhang P, Hu M, Hu T, Tang R, Zheng K, Huang XF, Yu Y.",Microbiome. 2021 Nov 11;9(1):223. doi: 10.1186/s40168-021-01172-0.,34758889,"
              BACKGROUND: Cognitive impairment, an increasing mental health issue, is a core feature of the aging brain and neurodegenerative diseases. ...However, it is unknown whether a fiber-deficient diet (which alters gut microbiota) could impair cognition and …
            "
"
              
                The Gut Microbiome in Depression and Potential Benefit of Prebiotics, Probiotics and Synbiotics: A Systematic Review of Clinical Trials and Observational Studies.
              
            ","Alli SR, Gorbovskaya I, Liu JCW, Kolla NJ, Brown L, Müller DJ.",Int J Mol Sci. 2022 Apr 19;23(9):4494. doi: 10.3390/ijms23094494.,35562885,"
              An emerging body of literature demonstrates differences in the gut microbiome (GMB) of patients with major depressive disorder (MDD) compared to healthy controls (HC), as well as the potential benefits of prebiotic, probiotic, and synbiotic treatment. ...We observed …
            "
"
              
                The gut-liver axis in sepsis: interaction mechanisms and therapeutic potential.
              
            ","Zhang X, Liu H, Hashimoto K, Yuan S, Zhang J.",Crit Care. 2022 Jul 13;26(1):213. doi: 10.1186/s13054-022-04090-1.,35831877,"
              Sepsis-induced liver injury is considered a strong independent prognosticator of death in the critical care unit, and there is anatomic and accumulating epidemiologic evidence that demonstrates intimate cross talk between the gut and the liver. Intestinal barrier disruptio …
            "
